test,vulkan_pvmm,vulkan_chains_union,vulkan_chains_new,vulkan_pvmm_new,vulkan_pvmm_new0,vulkan_pvmm_new1,vulkan_pvmm_new2,vulkan_pvmm_new3,vulkan_pvmm_new4,
x-redundant-semsc-vloc-po-ww-priv,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,
x-redundant-semsc-vloc-po-ww-nonpriv,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,
x-redundant-semsc-vloc-po-ww-wg,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,
x-redundant-semsc-vloc-po-rw-priv,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,
x-redundant-semsc-vloc-po-rw-nonpriv,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,
x-redundant-semsc-vloc-po-rw-wg,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,
x-redundant-semsc-vloc-po-wr-priv,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,
x-redundant-semsc-vloc-po-wr-nonpriv,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,
x-redundant-semsc-vloc-po-wr-wg,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,
,,,,,,,,,,
x-ssw-sw-sync-r-r-w,PASS,PASS,PASS,PASS,PASS,PASS,FAIL,PASS,FAIL,
x-ssw-sw-sync-r-w-r-a,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,
x-ssw-sw-sync-r-w-r-b,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,
x-ssw-sw-sync-r-w-r-c,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,
x-ssw-sw-sync-r-w-r-d,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,
x-ssw-sw-sync-r-w-r-e,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,
x-ssw-sw-sync-r-w-w-a,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,
x-ssw-sw-sync-r-w-w-b,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,
x-ssw-sw-sync-r-w-w-c,PASS,PASS,PASS,PASS,PASS,PASS,FAIL,PASS,FAIL,
x-ssw-sw-sync-r-w-w-d,PASS,PASS,PASS,PASS,PASS,PASS,FAIL,PASS,FAIL,
x-ssw-sw-sync-r-w-w-e,PASS,PASS,PASS,PASS,PASS,PASS,FAIL,PASS,FAIL,
