test,vulkan,vulkan-fixed,vulkan-update,
x-rmw4-a,FAIL,FAIL,FAIL,
x-rmw4-b,FAIL,FAIL,FAIL,
x-rmw5-a,PASS,PASS,PASS,
x-rmw5-b,FAIL,FAIL,FAIL,
x-rmw6-a,PASS,FAIL,PASS,
x-rmw6-b,FAIL,FAIL,FAIL,
x-rmw7-a,FAIL,FAIL,FAIL,
x-rmw7-b,FAIL,FAIL,FAIL,
x-rmw8-a,FAIL,PASS,PASS,
x-rmw8-b,FAIL,FAIL,FAIL,
,,,,
x-chains-av-via-read,FAIL,PASS,PASS,
,,,,
x-redundant-semsc,FAIL,PASS,PASS,
x-redundant-semsc-single-rw-priv,FAIL,PASS,PASS,
x-redundant-semsc-single-rw-nonpriv,FAIL,PASS,PASS,
x-redundant-semsc-single-rw-wg,FAIL,PASS,PASS,
x-redundant-semsc-single-r-priv,FAIL,PASS,PASS,
x-redundant-semsc-single-r-nonpriv,FAIL,PASS,PASS,
x-redundant-semsc-single-r-wg,FAIL,PASS,PASS,
x-redundant-semsc-single-w-priv,FAIL,PASS,PASS,
x-redundant-semsc-single-w-nonpriv,FAIL,PASS,PASS,
x-redundant-semsc-single-w-wg,FAIL,PASS,PASS,
,,,,
x-redundant-semsc-vloc-ext-rr-priv,FAIL,PASS,PASS,
x-redundant-semsc-vloc-ext-rr-nonpriv,FAIL,PASS,PASS,
x-redundant-semsc-vloc-ext-rr-wg,FAIL,PASS,PASS,
x-redundant-semsc-vloc-ext-ww-priv,FAIL,PASS,PASS,
x-redundant-semsc-vloc-ext-ww-nonpriv,FAIL,PASS,PASS,
x-redundant-semsc-vloc-ext-ww-wg,FAIL,FAIL,FAIL,
x-redundant-semsc-vloc-ext-rw1-priv,FAIL,PASS,PASS,
x-redundant-semsc-vloc-ext-rw1-nonpriv,FAIL,PASS,PASS,
x-redundant-semsc-vloc-ext-rw1-wg,FAIL,FAIL,FAIL,
x-redundant-semsc-vloc-ext-rw2-priv,FAIL,PASS,PASS,
x-redundant-semsc-vloc-ext-rw2-nonpriv,FAIL,PASS,PASS,
x-redundant-semsc-vloc-ext-rw2-wg,FAIL,FAIL,FAIL,
,,,,
x-redundant-semsc-vloc-po-rr-priv,FAIL,PASS,PASS,
x-redundant-semsc-vloc-po-rr-nonpriv,FAIL,PASS,PASS,
x-redundant-semsc-vloc-po-rr-wg,FAIL,PASS,PASS,
x-redundant-semsc-vloc-po-ww-priv,FAIL,PASS,PASS,
x-redundant-semsc-vloc-po-ww-nonpriv,FAIL,PASS,PASS,
x-redundant-semsc-vloc-po-ww-wg,FAIL,PASS,PASS,
x-redundant-semsc-vloc-po-rw-priv,FAIL,PASS,PASS,
x-redundant-semsc-vloc-po-rw-nonpriv,FAIL,PASS,PASS,
x-redundant-semsc-vloc-po-rw-wg,FAIL,PASS,PASS,
x-redundant-semsc-vloc-po-wr-priv,FAIL,PASS,PASS,
x-redundant-semsc-vloc-po-wr-nonpriv,FAIL,PASS,PASS,
x-redundant-semsc-vloc-po-wr-wg,FAIL,PASS,PASS,
