benchmark, result, time
C-MP+o-rel+acq-o.litmus, PASS, 10
C-MP+o-mb-o+o-mb-o.litmus, PASS, 11
C-MP+o-assign+o-dep-o.litmus, PASS, 10
C-locktest-filter.litmus, PASS, 21
C-RW-Ra+RW-G+RW-Rr.litmus, PASS, 12
C-Figure8.litmus, PASS, 14
C-release-is-A-cumulative.litmus, PASS, 11
C-IRIW+rel+rel+acq-o+acq-o.litmus, FAIL, 11
C-IRIWish+o+o-rel+o-rmb-o+o-rmb-o.litmus, PASS, 11
C-3+2W+o-wmb-o+o-wmb-o+o-wmb-o.litmus, FAIL, 12
C-MP+o-o+o-o.litmus, FAIL, 10
C-CO+o-o.litmus, PASS, 8
C-LB+o-rel+rl-o-o-rul+o-sync-o.litmus, PASS, 12
C-FR+w+w+w+reads.litmus, FAIL, 12
C-MP+o-wmb-o+o-rmb-o.litmus, PASS, 10
C-ISA2+o-rel+acq-rel+acq-o.litmus, PASS, 11
C-relseq-not-B-cumulative.litmus, FAIL, 12
C-release-B-cumulative-only-on-acquire-path.litmus, FAIL, 11
C-Z6.0+o-rel+acq-o+o-mb-o.litmus, FAIL, 10
C-Z6.0+o-mb-o+acq-o+o-mb-o.litmus, PASS, 12
C-SB+l-o-o-u+l-o-o-u+l-o-o-u+l-o-o-u-X.litmus, PASS, 136
C-SB+l-o-o-u+l-o-o-u+l-o-o-u+l-o-o-u+l-o-o-u-CE.litmus, PASS, 218
C-SB+l-o-o-u+l-o-o-u+l-o-o-u-C.litmus, PASS, 31
C-SB+l-o-o-u+l-o-o-u+l-o-o-u-CE.litmus, PASS, 31
C-SB+l-o-o-u+l-o-o-u-XE.litmus, PASS, 15
C-SB+l-o-o-u+l-o-o-u+l-o-o-u+l-o-o-u-CE.litmus, PASS, 72
C-SB+l-o-o-u+l-o-o-u-X.litmus, PASS, 14
C-SB+l-o-o-u+l-o-o-u+l-o-o-u+l-o-o-u+l-o-o-u-C.litmus, PASS, 188
C-SB+l-o-o-u+l-o-o-u+l-o-o-u+l-o-o-u+l-o-o-u-XE.litmus, PASS, 186
C-SB+l-o-o-u+l-o-o-u-C.litmus, PASS, 14
C-SB+l-o-o-u+l-o-o-u+l-o-o-u+l-o-o-u+l-o-o-u-X.litmus, PASS, 186
C-SB+l-o-o-u+l-o-o-u+l-o-o-u+l-o-o-u-C.litmus, PASS, 71
C-SB+l-o-o-u+l-o-o-u-CE.litmus, PASS, 14
C-SB+l-o-o-u+l-o-o-u+l-o-o-u-XE.litmus, PASS, 29
C-SB+l-o-o-u+l-o-o-u+l-o-o-u+l-o-o-u-XE.litmus, PASS, 66
C-SB+l-o-o-u+l-o-o-u+l-o-o-u-X.litmus, PASS, 30
C-noatomic-03.litmus, FAIL, 12
C-atomic-00.litmus, FAIL, 13
C-atomic-02.litmus, PASS, 11
C-xchg-lock-write1.litmus, PASS, 12
C-atomic-04.litmus, FAIL, 20
C-PaulEMcKenney-SB+adat-o+adat-o.litmus, PASS, 14
C-AlanStern-Atomic1.litmus, PASS, 11
C-atomic-01.litmus, PASS, 12
C-atomic-03.litmus, FAIL, 10
C-wrc+o-mb-o+o-rmb-o.litmus, PASS, 10
C-3+2w+o-wb-o+o-wb-o+o-wb-o.litmus, FAIL, 9
C-wo+ro-mb-wo+wo-mb-ro2.litmus, PASS, 10
C-mp+o-rmb-o+o-mb-o.litmus, FAIL, 8
C-wrc+o-mb-o+o-mb-o.litmus, PASS, 10
C-iriw+o-mb-o+o-rmb-o.litmus, FAIL, 10
C-r+o-mb-o+o-mb-o.litmus, PASS, 10
C-s+o-wb-o+o-mb-o.litmus, PASS, 10
C-mp+o-mb-o+o-mb-o.litmus, PASS, 10
C-2+2w+o-wb-o+o-mb-o.litmus, FAIL, 9
C-r+o-wmb-o+o-rmb-o2.litmus, FAIL, 13
C-mp+o-wb-o+o-mb-o2.litmus, PASS, 9
C-r+o-mb-o+o-rmb-o2.litmus, FAIL, 9
C-mp+o-mb-o+o-rb-o2.litmus, PASS, 9
C-r+o-wmb-o+o-mb-o2.litmus, FAIL, 10
C-s+o-mb-o+o-mb-o.litmus, PASS, 10
C-mp+o-wb-o+o-rb-o2.litmus, PASS, 10
C-mp+o-mb-o+o-mb-o2.litmus, PASS, 9
C-mp+o-wb-o+o-mb-o.litmus, PASS, 10
C-2+2w+o-mb-o+o-mb-o.litmus, PASS, 9
C-mp+o-wb-o+o-rb-o.litmus, PASS, 10
C-s+o-mb-o+o-mb-o2.litmus, PASS, 10
C-wrc+o-mb-o+o-mb-o2.litmus, PASS, 10
C-sb+o-mb-o+o-mb-o.litmus, PASS, 10
C-2+2w+o-mb-o+o-wb-o.litmus, FAIL, 9
C-wo+ro-mb-wo+wo-mb-ro.litmus, PASS, 11
C-mp+o-mb-o+o-wmb-o.litmus, FAIL, 9
C-iriw+o-rmb-o+o-mb-o.litmus, FAIL, 10
C-mp+o-mb-o+o-rb-o.litmus, PASS, 10
C-r+o-mb-o+o-mb-o2.litmus, PASS, 10
C-r+o-mb-o+o-wb-o2.litmus, FAIL, 10
C-r+o-mb-o+o-wb-o.litmus, FAIL, 9
C-lb+o-mb-o+o-rmb-o.litmus, FAIL, 9
C-lb+o-mb-o+o-mb-o.litmus, PASS, 10
C-s+o-wb-o+o-mb-o2.litmus, PASS, 10
C-2+2w+o-wb-o+o-wb-o.litmus, FAIL, 10
C-wo+ro-mb-ro+wo-mb-ro.litmus, PASS, 10
C-iriw+o-mb-o+o-mb-o.litmus, PASS, 10
C-wrc+o-mb-o+o-rb-o2.litmus, PASS, 10
C-wrc+o-mb-o+o-rb-o.litmus, PASS, 10
C-r+o-o+o-o.litmus, FAIL, 9
C-isa2+rl-o-o-rul+rl-o-o-rul+o-srcu-o.litmus, FAIL, 10
C-w+ro-srcu-wo+rl-wo-ro-rul.litmus, PASS, 11
C-w+o+ro-srcu-wo+rl-o-o-rul.litmus, PASS, 10
C-iriw+rl-o-o-rul+o-srcu-o.litmus, PASS, 11
C-lb+rl-o-o-rul+o-srcu-o.litmus, PASS, 10
C-s+o-assign+rl-deref-rul.litmus, FAIL, 9
C-r+srcu+rl-rul.litmus, PASS, 10
C-s+rl-o-rul+srcu.litmus, PASS, 10
C-2+2w+rl-o-o-rul+o-srcu-o.litmus, PASS, 10
C-w+rl-ro-ro-rul+wo-srcu-ro.litmus, PASS, 11
C-w+ro-wo+wo-ro.litmus, FAIL, 9
C-wrc+o+rl-o-o-rul+o-srcu-o.litmus, PASS, 9
C-sb+rl-rul+srcu.litmus, PASS, 9
C-s+srcu+rl-o-rul.litmus, PASS, 10
C-w+ro-ro+wo-ro.litmus, FAIL, 9
C-swap-mp+rl-o-o-rul+o-srcu-o.litmus, PASS, 9
C-isa2+rl-o-o-rul+o-srcu-o+o-srcu-o.litmus, PASS, 11
C-r+rl-rul+srcu.litmus, PASS, 9
