benchmark, result, time
R+po+po-mfence-po.litmus, PASS, 10
frmap2.litmus, FAIL, 9
R+po+po-pos-pos.litmus, FAIL, 9
3.SB+po+rfi-po+rfi-po.litmus, FAIL, 9
MP+po+po-rfi-pos.litmus, PASS, 9
W+RW+WW+WR+po+po+mfence.litmus, FAIL, 11
WW+RW+WR+WR+po+po+mfence+rfi-po.litmus, FAIL, 8
SB+mfences.litmus, PASS, 8
3.SB+rfi-pos.litmus, FAIL, 8
3.SB+mfence+po+po.litmus, FAIL, 8
W+RW+WW+WW.litmus, FAIL, 10
m13.litmus, FAIL, 7
MP+po+fri-po-pos.litmus, PASS, 9
amd3.litmus, FAIL, 8
Z6.0+po+po+rfi-po.litmus, FAIL, 9
Z6.4+po+mfence+mfence.litmus, FAIL, 9
m33f.litmus, FAIL, 8
MP+po+po-rfi-po.litmus, PASS, 8
WW+WR+WR+WR+po+rfi-po+mfence+mfence.litmus, FAIL, 11
WW+WR+WR+WR+po+mfence+rfi-po+rfi-po.litmus, FAIL, 9
R+po+po-po-rfi.litmus, PASS, 10
W+RW+RW+RW.litmus, FAIL, 12
m24.litmus, FAIL, 9
WW+WW+RR+WR+po+po+po+mfence.litmus, FAIL, 11
W+RW+WR+WR+po+mfence+po.litmus, FAIL, 10
WW+RR+WW+RW.litmus, FAIL, 12
R+po+po-wsi-mfence.litmus, PASS, 10
SB+po-rfi+po-rfi-po.litmus, FAIL, 9
W+RW+WR+WR+po+rfi-po+po.litmus, FAIL, 10
4.SB+mfence+mfence+rfi-po+po.litmus, FAIL, 9
WW+RR+WW+WR+po+po+po+rfi-po.litmus, FAIL, 12
WW+WW+WR+WR+po+po+mfence+rfi-po.litmus, FAIL, 9
4.SB+mfence+mfence+mfence+po.litmus, FAIL, 8
R+mfence-rmw+po.litmus, FAIL, 10
m14f.litmus, FAIL, 10
iwp2.7-amd7.litmus, FAIL, 10
R+po-rmw+rfi-po.litmus, FAIL, 12
intel.n4.litmus, FAIL, 10
W+RR+WR+WW.litmus, FAIL, 9
iwp2.4-amd9.litmus, FAIL, 8
MP+po+po-po-po.litmus, PASS, 9
Z6.2.litmus, FAIL, 9
3.SB+mfences.litmus, FAIL, 8
IRIWX.litmus, PASS, 8
MP+po+po-po-po001.litmus, PASS, 9
iwp2.5-amd8.litmus, FAIL, 8
WW+RW+WR+WR+po+po+rfi-po+rfi-po.litmus, FAIL, 10
Z6.4+po+rfi-po+po.litmus, FAIL, 9
R+po-rfi-pos.litmus, FAIL, 10
Z6.4+po+mfence+po.litmus, FAIL, 9
R+po+po-po-po003.litmus, FAIL, 9
4.SB+mfence+rfi-po+po+rfi-po.litmus, FAIL, 9
SB+rfi-pos.litmus, FAIL, 10
MP+po+po-po-po002.litmus, PASS, 10
WRW+2W.litmus, FAIL, 11
ISA2.litmus, FAIL, 12
RW+WR+rmw-po+mfence.litmus, FAIL, 11
R.litmus, FAIL, 9
n4b.litmus, FAIL, 10
W+RW+RR+WR+po+po+rfi-po.litmus, FAIL, 10
2+2W+mfence-rmw+po-rmw.litmus, FAIL, 13
R+po+rfi-pos-po.litmus, FAIL, 10
W+RW+RW+WR.litmus, FAIL, 9
W+RR+WR+WR+po+rfi-po+rfi-po.litmus, FAIL, 8
W+RR+WR+WR+po+po+mfence.litmus, FAIL, 9
WW+WW+WR+WR+po+po+po+mfence.litmus, FAIL, 10
SB+mfence+po-rfi.litmus, PASS, 10
RR+RR+rmw-mfences.litmus, FAIL, 10
WW+WR+WW+WR+po+mfence+po+rfi-po.litmus, FAIL, 13
MP+po+po-po-mfence001.litmus, PASS, 10
Z6.5+po+po+rfi-po.litmus, FAIL, 11
WW+RR+WW+WR.litmus, FAIL, 9
Z6.1.litmus, FAIL, 10
intel.n7.litmus, FAIL, 9
WW+WW+WR+WR.litmus, FAIL, 9
intel.iriw.litmus, FAIL, 9
MP+po+po-fri-po.litmus, PASS, 10
R+rfi-po+po-rfi-po.litmus, FAIL, 9
3.SB+po+rfi-po+po.litmus, FAIL, 8
WRW+WR+po+rfi-po.litmus, FAIL, 10
4.LB.litmus, FAIL, 10
2+2W+po+po-rmw.litmus, FAIL, 11
MP+po+po-po.litmus, PASS, 10
intel.paul-tso.litmus, PASS, 9
4.SB+po+rfi-po+rfi-po+po.litmus, FAIL, 9
LB+po+po-rmw.litmus, FAIL, 9
W+RR+WR+WR+po+mfence+rfi-po.litmus, FAIL, 9
x86-m1.litmus, FAIL, 9
WW+WR+WW+WR.litmus, FAIL, 10
WW+RW+RW+WR+po+po+po+mfence.litmus, FAIL, 11
WW+RW+WR+WR+po+po+rfi-po+po.litmus, FAIL, 12
iriw.2.litmus, PASS, 10
IRWIW.litmus, FAIL, 12
R+po+rfi-po-rfi.litmus, PASS, 10
WW+RW+WR+WR+po+po+mfence+po.litmus, FAIL, 10
WW+RW+WR+WR.litmus, FAIL, 9
x86-e1.litmus, FAIL, 9
MP+po+po-po-pos001.litmus, PASS, 10
R+po-rfi-po+po-rfi.litmus, PASS, 10
SB+rfi-po+po-rfi.litmus, FAIL, 9
WW+WR+WR+WR+po+po+po+rfi-po.litmus, FAIL, 10
WW+WR+WR+WR+po+rfi-po+po+po.litmus, FAIL, 11
WW+WR+WR+WR+po+rfi-po+po+mfence.litmus, FAIL, 10
MP+po+rmw-po.litmus, FAIL, 11
test.debug.2.litmus, FAIL, 9
irreduc2.litmus, FAIL, 10
MP+po+fri-po.litmus, PASS, 10
WWC.litmus, FAIL, 10
iwp2.3.b.half.litmus, FAIL, 8
MP+po+fri-mfence.litmus, PASS, 10
n7.litmus, FAIL, 9
W+RW+WW+RR.litmus, FAIL, 11
X006.litmus, FAIL, 10
W+RW+WR+WW+po+mfence+po.litmus, FAIL, 11
classic.litmus, FAIL, 10
2+2W+rfi-po+po-rfi-po.litmus, PASS, 11
W+RW+WR+WW+po+rfi-po+po.litmus, FAIL, 13
intel.n5.litmus, FAIL, 10
Z6.3.litmus, FAIL, 11
S+po-rmws.litmus, FAIL, 11
W+RR+WR+WW+po+mfence+po.litmus, FAIL, 11
R+po+po-po-pos.litmus, FAIL, 10
WW+RW+RW+RR.litmus, FAIL, 10
R+po+mfence-po-mfence.litmus, PASS, 9
W+RR+WR+WW+po+rfi-po+po.litmus, FAIL, 9
WW+WR+WW+WR+po+rfi-po+po+po.litmus, FAIL, 11
WW+WR+WR+WR+po+po+mfence+mfence.litmus, FAIL, 9
R+po+po-po-po002.litmus, FAIL, 10
