benchmark, result, time
C-CO+o-o.litmus, , 5
C-LB+o-rel+rl-o-o-rul+o-sync-o.litmus, , 10
C-FR+w+w+w+reads.litmus, , 104
C-MP+o-wmb-o+o-rmb-o.litmus, , 8
C-ISA2+o-rel+acq-rel+acq-o.litmus, , 12
C-relseq-not-B-cumulative.litmus, , 47
C-release-B-cumulative-only-on-acquire-path.litmus, , 17
C-Z6.0+o-rel+acq-o+o-mb-o.litmus, , 10
C-Z6.0+o-mb-o+acq-o+o-mb-o.litmus, , 11
C-SB+l-o-o-u+l-o-o-u+l-o-o-u+l-o-o-u-X.litmus, 
C-SB+l-o-o-u+l-o-o-u+l-o-o-u+l-o-o-u+l-o-o-u-CE.litmus, 
C-SB+l-o-o-u+l-o-o-u+l-o-o-u-C.litmus, , 647
C-SB+l-o-o-u+l-o-o-u+l-o-o-u-CE.litmus, , 1346
C-SB+l-o-o-u+l-o-o-u-XE.litmus, , 60
C-SB+l-o-o-u+l-o-o-u+l-o-o-u+l-o-o-u-CE.litmus, 
C-SB+l-o-o-u+l-o-o-u-X.litmus, , 33
C-SB+l-o-o-u+l-o-o-u+l-o-o-u+l-o-o-u+l-o-o-u-C.litmus, 
C-SB+l-o-o-u+l-o-o-u+l-o-o-u+l-o-o-u+l-o-o-u-XE.litmus, 
C-SB+l-o-o-u+l-o-o-u-C.litmus, , 30
C-SB+l-o-o-u+l-o-o-u+l-o-o-u+l-o-o-u+l-o-o-u-X.litmus, 
C-SB+l-o-o-u+l-o-o-u+l-o-o-u+l-o-o-u-C.litmus, 
C-SB+l-o-o-u+l-o-o-u-CE.litmus, , 42
C-SB+l-o-o-u+l-o-o-u+l-o-o-u-XE.litmus, , 2776
C-SB+l-o-o-u+l-o-o-u+l-o-o-u+l-o-o-u-XE.litmus, 
C-SB+l-o-o-u+l-o-o-u+l-o-o-u-X.litmus, , 912
C-noatomic-03.litmus, , 9
C-atomic-00.litmus, , 122
C-atomic-02.litmus, , 10
C-xchg-lock-write1.litmus, , 23
C-atomic-04.litmus, , 20
C-PaulEMcKenney-SB+adat-o+adat-o.litmus, , 12
C-AlanStern-Atomic1.litmus, , 10
C-atomic-01.litmus, , 165
C-atomic-03.litmus, , 8
C-wrc+o-mb-o+o-rmb-o.litmus, , 11
C-3+2w+o-wb-o+o-wb-o+o-wb-o.litmus, , 12
C-wo+ro-mb-wo+wo-mb-ro2.litmus, , 10
C-mp+o-rmb-o+o-mb-o.litmus, , 9
C-wrc+o-mb-o+o-mb-o.litmus, , 11
C-iriw+o-mb-o+o-rmb-o.litmus, , 15
C-r+o-mb-o+o-mb-o.litmus, , 9
